10001	CCCCC(N)=O.[H]O[H]>>CCCCC(=O)[O-].[H][N+]([H])([H])[H]
10002	CCCCC(=O)[O-].[H][N+]([H])([H])[H]>>CCCCC(N)=O.[H]O[H]
10005	S=C=NCC1=CC=CC=C1>>N#CSCC1=CC=CC=C1
10006	N#CSCC1=CC=CC=C1>>S=C=NCC1=CC=CC=C1
10009	*OO.*N[C@@H](CS)C(*)=O.*N[C@@H](CS)C(*)=O>>*N[C@@H](CSSC[C@H](N*)C(*)=O)C(*)=O.*O.[H]O[H]
10010	*N[C@@H](CSSC[C@H](N*)C(*)=O)C(*)=O.*O.[H]O[H]>>*OO.*N[C@@H](CS)C(*)=O.*N[C@@H](CS)C(*)=O
10013	[H][C@]1(C2=CN=C(O)C=C2)CCC[NH+]1C.O=O.[H]O[H]>>C[NH2+]CCCC(=O)C1=CN=C(O)C=C1.[H]OO[H]
10014	C[NH2+]CCCC(=O)C1=CN=C(O)C=C1.[H]OO[H]>>[H][C@]1(C2=CN=C(O)C=C2)CCC[NH+]1C.O=O.[H]O[H]
10017	COC1=CC(/C=C/C(=O)OCC[N+](C)(C)C)=CC(OC)=C1O.[H]O[H]>>COC1=CC(/C=C/C(=O)[O-])=CC(OC)=C1O.C[N+](C)(C)CCO.[H+]
10018	COC1=CC(/C=C/C(=O)[O-])=CC(OC)=C1O.C[N+](C)(C)CCO.[H+]>>COC1=CC(/C=C/C(=O)OCC[N+](C)(C)C)=CC(OC)=C1O.[H]O[H]
